split,budget,method,metric,mean,ci95,n
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,particle_friction_belief,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.0,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,particle_friction_belief,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.05,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,particle_friction_belief,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.1,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,particle_friction_belief,accepted_ap,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
combined_hard_shift,0.15,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,particle_friction_belief,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.0,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,particle_friction_belief,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.05,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,particle_friction_belief,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.1,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,conformal_precontact_risk,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,particle_friction_belief,accepted_ap,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,coverage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,10
low_signal_high_risk_shift,0.15,recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,10
