method,metric,mean,ci95,n
calibrated_precontact_microslip_v5,auroc,0.554527,0.022015,10
calibrated_precontact_microslip_v5,average_precision,0.800884,0.016089,10
calibrated_precontact_microslip_v5,control_chatter,0.130102,0.001302,10
calibrated_precontact_microslip_v5,damage_rate,0.094010,0.005792,10
calibrated_precontact_microslip_v5,early_recall,0.946631,0.004224,10
calibrated_precontact_microslip_v5,ece,0.080422,0.009766,10
calibrated_precontact_microslip_v5,false_alarm_rate,0.915611,0.016719,10
calibrated_precontact_microslip_v5,gross_slip,0.423828,0.013813,10
calibrated_precontact_microslip_v5,intervention_cost,0.339568,0.002079,10
calibrated_precontact_microslip_v5,lead_time_margin,0.359699,0.002149,10
calibrated_precontact_microslip_v5,recovery_success,0.244141,0.004601,10
calibrated_precontact_microslip_v5,robust_utility,-0.022580,0.012993,10
calibrated_precontact_microslip_v5,task_success,0.327995,0.008348,10
conformal_precontact_risk,auroc,0.560482,0.016076,10
conformal_precontact_risk,average_precision,0.802580,0.008189,10
conformal_precontact_risk,control_chatter,0.059228,0.000759,10
conformal_precontact_risk,damage_rate,0.105990,0.007007,10
conformal_precontact_risk,early_recall,0.819497,0.005521,10
conformal_precontact_risk,ece,0.075341,0.006678,10
conformal_precontact_risk,false_alarm_rate,0.756492,0.028188,10
conformal_precontact_risk,gross_slip,0.483594,0.009701,10
conformal_precontact_risk,intervention_cost,0.231838,0.002087,10
conformal_precontact_risk,lead_time_margin,0.305826,0.002676,10
conformal_precontact_risk,recovery_success,0.144141,0.007148,10
conformal_precontact_risk,robust_utility,-0.119518,0.008455,10
conformal_precontact_risk,task_success,0.232422,0.007028,10
ensemble_uncertainty_guard,auroc,0.554263,0.015209,10
ensemble_uncertainty_guard,average_precision,0.798451,0.009689,10
ensemble_uncertainty_guard,control_chatter,0.186359,0.000648,10
ensemble_uncertainty_guard,damage_rate,0.088802,0.005679,10
ensemble_uncertainty_guard,early_recall,0.991708,0.002329,10
ensemble_uncertainty_guard,ece,0.094259,0.008442,10
ensemble_uncertainty_guard,false_alarm_rate,0.986307,0.003851,10
ensemble_uncertainty_guard,gross_slip,0.415625,0.013732,10
ensemble_uncertainty_guard,intervention_cost,0.456601,0.000853,10
ensemble_uncertainty_guard,lead_time_margin,0.361200,0.002197,10
ensemble_uncertainty_guard,recovery_success,0.241797,0.011183,10
ensemble_uncertainty_guard,robust_utility,-0.055605,0.011635,10
ensemble_uncertainty_guard,task_success,0.318099,0.013435,10
force_derivative_detector,auroc,0.513326,0.016353,10
force_derivative_detector,average_precision,0.781290,0.009373,10
force_derivative_detector,control_chatter,0.032026,0.000660,10
force_derivative_detector,damage_rate,0.134245,0.008511,10
force_derivative_detector,early_recall,0.432781,0.012371,10
force_derivative_detector,ece,0.287549,0.008094,10
force_derivative_detector,false_alarm_rate,0.420552,0.016683,10
force_derivative_detector,gross_slip,0.608984,0.010861,10
force_derivative_detector,intervention_cost,0.121720,0.001417,10
force_derivative_detector,lead_time_margin,0.255236,0.003287,10
force_derivative_detector,recovery_success,0.037239,0.003119,10
force_derivative_detector,robust_utility,-0.266787,0.011096,10
force_derivative_detector,task_success,0.122396,0.008507,10
friction_cone_margin,auroc,0.550719,0.014883,10
friction_cone_margin,average_precision,0.796821,0.013249,10
friction_cone_margin,control_chatter,0.099165,0.000533,10
friction_cone_margin,damage_rate,0.101432,0.007773,10
friction_cone_margin,early_recall,0.910339,0.004438,10
friction_cone_margin,ece,0.102762,0.006379,10
friction_cone_margin,false_alarm_rate,0.874101,0.015347,10
friction_cone_margin,gross_slip,0.463672,0.009613,10
friction_cone_margin,intervention_cost,0.281949,0.001033,10
friction_cone_margin,lead_time_margin,0.298929,0.002404,10
friction_cone_margin,recovery_success,0.172656,0.006137,10
friction_cone_margin,robust_utility,-0.101821,0.007158,10
friction_cone_margin,task_success,0.255990,0.007240,10
mpc_grip_stabilizer,auroc,0.543562,0.013609,10
mpc_grip_stabilizer,average_precision,0.796801,0.013397,10
mpc_grip_stabilizer,control_chatter,0.086421,0.000775,10
mpc_grip_stabilizer,damage_rate,0.092318,0.006800,10
mpc_grip_stabilizer,early_recall,0.908116,0.009562,10
mpc_grip_stabilizer,ece,0.100367,0.009811,10
mpc_grip_stabilizer,false_alarm_rate,0.873309,0.012454,10
mpc_grip_stabilizer,gross_slip,0.415234,0.011542,10
mpc_grip_stabilizer,intervention_cost,0.327326,0.002185,10
mpc_grip_stabilizer,lead_time_margin,0.339197,0.001796,10
mpc_grip_stabilizer,recovery_success,0.271094,0.009912,10
mpc_grip_stabilizer,robust_utility,0.024895,0.016075,10
mpc_grip_stabilizer,task_success,0.362500,0.015389,10
normal_force_threshold,auroc,0.512714,0.011555,10
normal_force_threshold,average_precision,0.784212,0.008700,10
normal_force_threshold,control_chatter,0.010911,0.000710,10
normal_force_threshold,damage_rate,0.135547,0.005532,10
normal_force_threshold,early_recall,0.189116,0.008038,10
normal_force_threshold,ece,0.420699,0.007966,10
normal_force_threshold,false_alarm_rate,0.165780,0.018638,10
normal_force_threshold,gross_slip,0.640234,0.008995,10
normal_force_threshold,intervention_cost,0.078957,0.001700,10
normal_force_threshold,lead_time_margin,0.214775,0.004005,10
normal_force_threshold,recovery_success,0.011589,0.002508,10
normal_force_threshold,robust_utility,-0.285738,0.003793,10
normal_force_threshold,task_success,0.099870,0.002848,10
optical_tactile_classifier,auroc,0.550534,0.015239,10
optical_tactile_classifier,average_precision,0.797045,0.008000,10
optical_tactile_classifier,control_chatter,0.097106,0.000909,10
optical_tactile_classifier,damage_rate,0.110807,0.005985,10
optical_tactile_classifier,early_recall,0.954260,0.003248,10
optical_tactile_classifier,ece,0.093202,0.009558,10
optical_tactile_classifier,false_alarm_rate,0.921266,0.016985,10
optical_tactile_classifier,gross_slip,0.507812,0.009825,10
optical_tactile_classifier,intervention_cost,0.274228,0.001553,10
optical_tactile_classifier,lead_time_margin,0.299972,0.002063,10
optical_tactile_classifier,recovery_success,0.129818,0.009759,10
optical_tactile_classifier,robust_utility,-0.174345,0.012538,10
optical_tactile_classifier,task_success,0.208724,0.011934,10
oracle_precontact_risk,auroc,0.652107,0.010044,10
oracle_precontact_risk,average_precision,0.850866,0.009405,10
oracle_precontact_risk,control_chatter,0.073711,0.000593,10
oracle_precontact_risk,damage_rate,0.047005,0.004052,10
oracle_precontact_risk,early_recall,0.992241,0.002156,10
oracle_precontact_risk,ece,0.023454,0.003218,10
oracle_precontact_risk,false_alarm_rate,0.972699,0.007592,10
oracle_precontact_risk,gross_slip,0.236849,0.009369,10
oracle_precontact_risk,intervention_cost,0.314377,0.000909,10
oracle_precontact_risk,lead_time_margin,0.400488,0.002196,10
oracle_precontact_risk,recovery_success,0.488802,0.009626,10
oracle_precontact_risk,robust_utility,0.370674,0.015859,10
oracle_precontact_risk,task_success,0.603646,0.015128,10
particle_friction_belief,auroc,0.560411,0.012150,10
particle_friction_belief,average_precision,0.805978,0.009704,10
particle_friction_belief,control_chatter,0.098745,0.000783,10
particle_friction_belief,damage_rate,0.093620,0.005139,10
particle_friction_belief,early_recall,0.964508,0.004626,10
particle_friction_belief,ece,0.072048,0.007889,10
particle_friction_belief,false_alarm_rate,0.939133,0.014254,10
particle_friction_belief,gross_slip,0.455990,0.013029,10
particle_friction_belief,intervention_cost,0.287019,0.001196,10
particle_friction_belief,lead_time_margin,0.329823,0.002300,10
particle_friction_belief,recovery_success,0.200651,0.009507,10
particle_friction_belief,robust_utility,-0.071165,0.010369,10
particle_friction_belief,task_success,0.282943,0.009670,10
precontact_microslip_v4,auroc,0.561314,0.007574,10
precontact_microslip_v4,average_precision,0.805262,0.008823,10
precontact_microslip_v4,control_chatter,0.170185,0.001059,10
precontact_microslip_v4,damage_rate,0.098307,0.008802,10
precontact_microslip_v4,early_recall,0.944134,0.004330,10
precontact_microslip_v4,ece,0.104836,0.006564,10
precontact_microslip_v4,false_alarm_rate,0.921579,0.015352,10
precontact_microslip_v4,gross_slip,0.439062,0.009765,10
precontact_microslip_v4,intervention_cost,0.415956,0.002351,10
precontact_microslip_v4,lead_time_margin,0.370314,0.002107,10
precontact_microslip_v4,recovery_success,0.222656,0.008439,10
precontact_microslip_v4,robust_utility,-0.073602,0.010072,10
precontact_microslip_v4,task_success,0.304036,0.007983,10
recovery_aware_grasp_mpc,auroc,0.548221,0.021850,10
recovery_aware_grasp_mpc,average_precision,0.800035,0.016543,10
recovery_aware_grasp_mpc,control_chatter,0.103148,0.001075,10
recovery_aware_grasp_mpc,damage_rate,0.083594,0.005928,10
recovery_aware_grasp_mpc,early_recall,0.936882,0.005651,10
recovery_aware_grasp_mpc,ece,0.101303,0.011307,10
recovery_aware_grasp_mpc,false_alarm_rate,0.923975,0.013616,10
recovery_aware_grasp_mpc,gross_slip,0.398438,0.010080,10
recovery_aware_grasp_mpc,intervention_cost,0.366714,0.002434,10
recovery_aware_grasp_mpc,lead_time_margin,0.350142,0.002320,10
recovery_aware_grasp_mpc,recovery_success,0.295833,0.010514,10
recovery_aware_grasp_mpc,robust_utility,0.066760,0.008064,10
recovery_aware_grasp_mpc,task_success,0.403255,0.007057,10
tactile_temporal_filter,auroc,0.537811,0.019998,10
tactile_temporal_filter,average_precision,0.792964,0.014934,10
tactile_temporal_filter,control_chatter,0.048711,0.000819,10
tactile_temporal_filter,damage_rate,0.126041,0.007463,10
tactile_temporal_filter,early_recall,0.669217,0.009945,10
tactile_temporal_filter,ece,0.181525,0.011373,10
tactile_temporal_filter,false_alarm_rate,0.611922,0.023764,10
tactile_temporal_filter,gross_slip,0.567057,0.005909,10
tactile_temporal_filter,intervention_cost,0.171775,0.001452,10
tactile_temporal_filter,lead_time_margin,0.238864,0.002969,10
tactile_temporal_filter,recovery_success,0.063411,0.004737,10
tactile_temporal_filter,robust_utility,-0.231770,0.008782,10
tactile_temporal_filter,task_success,0.151562,0.007180,10
vision_gap_threshold,auroc,0.554342,0.015986,10
vision_gap_threshold,average_precision,0.802269,0.006790,10
vision_gap_threshold,control_chatter,0.040795,0.001384,10
vision_gap_threshold,damage_rate,0.122396,0.003990,10
vision_gap_threshold,early_recall,0.505569,0.016405,10
vision_gap_threshold,ece,0.205412,0.009444,10
vision_gap_threshold,false_alarm_rate,0.426351,0.023400,10
vision_gap_threshold,gross_slip,0.580469,0.013106,10
vision_gap_threshold,intervention_cost,0.144700,0.003161,10
vision_gap_threshold,lead_time_margin,0.307331,0.003381,10
vision_gap_threshold,recovery_success,0.064193,0.004339,10
vision_gap_threshold,robust_utility,-0.227433,0.009919,10
vision_gap_threshold,task_success,0.148307,0.002833,10
