seed,method,average_precision,auroc,ece,early_recall,false_alarm_rate,lead_time_margin,task_success,gross_slip,damage_rate,intervention_cost,control_chatter,recovery_success,robust_utility
0,calibrated_precontact_microslip_v5,0.783327,0.520768,0.095135,0.943782,0.922652,0.358027,0.316406,0.419271,0.109375,0.340313,0.130130,0.236979,-0.039842
0,conformal_precontact_risk,0.790483,0.535394,0.081383,0.816014,0.806630,0.301235,0.242188,0.492188,0.100260,0.235645,0.061045,0.156250,-0.115109
0,ensemble_uncertainty_guard,0.803394,0.551874,0.095683,0.993186,0.988950,0.358637,0.313802,0.427083,0.092448,0.458256,0.186384,0.243490,-0.068442
0,force_derivative_detector,0.789224,0.552307,0.274029,0.434412,0.375691,0.257656,0.128906,0.592448,0.136719,0.119741,0.030893,0.035156,-0.251700
0,friction_cone_margin,0.761635,0.505906,0.113679,0.897785,0.933702,0.296801,0.253906,0.492188,0.100260,0.285324,0.100722,0.166667,-0.121092
0,mpc_grip_stabilizer,0.771396,0.526904,0.099696,0.923339,0.900552,0.337481,0.332031,0.408854,0.104167,0.333842,0.088364,0.242188,-0.010855
0,normal_force_threshold,0.795573,0.539582,0.411282,0.183986,0.165746,0.223763,0.095052,0.632812,0.138021,0.078674,0.010742,0.016927,-0.288152
0,optical_tactile_classifier,0.791302,0.531516,0.102978,0.955707,0.966851,0.297224,0.223958,0.502604,0.128906,0.278697,0.099156,0.140625,-0.167972
0,oracle_precontact_risk,0.849739,0.639905,0.022581,0.988075,0.983425,0.398588,0.618490,0.240885,0.055990,0.315335,0.074180,0.503906,0.378087
0,particle_friction_belief,0.792767,0.526415,0.092113,0.960818,0.961326,0.327389,0.253906,0.441406,0.100260,0.288883,0.099436,0.173177,-0.098271
0,precontact_microslip_v4,0.797049,0.562538,0.106533,0.962521,0.922652,0.368121,0.289062,0.438802,0.119792,0.421965,0.171982,0.208333,-0.099819
0,recovery_aware_grasp_mpc,0.758793,0.500061,0.116829,0.933560,0.928177,0.347908,0.389323,0.378906,0.082031,0.367143,0.102998,0.274740,0.061609
0,tactile_temporal_filter,0.759426,0.495920,0.204535,0.640545,0.624309,0.241245,0.141927,0.558594,0.147135,0.169304,0.047592,0.052083,-0.246770
0,vision_gap_threshold,0.790742,0.532712,0.195695,0.517888,0.475138,0.302117,0.148438,0.606771,0.122396,0.149881,0.042961,0.074219,-0.243410
1,calibrated_precontact_microslip_v5,0.803777,0.539191,0.081378,0.943428,0.952096,0.360741,0.326823,0.430990,0.085938,0.340874,0.131087,0.248698,-0.023737
1,conformal_precontact_risk,0.809073,0.574382,0.080400,0.823627,0.730539,0.306714,0.236979,0.492188,0.088542,0.229950,0.058104,0.153646,-0.109076
1,ensemble_uncertainty_guard,0.825182,0.585123,0.079870,0.990017,0.994012,0.360108,0.308594,0.398438,0.082031,0.455567,0.186408,0.235677,-0.052336
1,force_derivative_detector,0.783230,0.518557,0.289487,0.450915,0.449102,0.256812,0.100260,0.619792,0.164062,0.124778,0.033439,0.031250,-0.307575
1,friction_cone_margin,0.801322,0.539699,0.107387,0.905158,0.868263,0.297206,0.251302,0.468750,0.100260,0.279541,0.098035,0.179688,-0.106136
1,mpc_grip_stabilizer,0.839379,0.598683,0.067233,0.926789,0.844311,0.339280,0.403646,0.447917,0.095052,0.327796,0.086114,0.302083,0.051734
1,normal_force_threshold,0.779054,0.492393,0.432258,0.181364,0.161677,0.209077,0.096354,0.631510,0.151042,0.078086,0.010458,0.015625,-0.290935
1,optical_tactile_classifier,0.814184,0.552064,0.092142,0.951747,0.958084,0.299695,0.203125,0.497396,0.114583,0.275335,0.097881,0.131510,-0.176432
1,oracle_precontact_risk,0.871507,0.663714,0.014106,0.988353,0.994012,0.398799,0.604167,0.239583,0.041667,0.314110,0.073528,0.485677,0.373191
1,particle_friction_belief,0.831812,0.594299,0.046137,0.965058,0.946108,0.328872,0.278646,0.501302,0.101562,0.286445,0.098632,0.205729,-0.098975
1,precontact_microslip_v4,0.815460,0.571313,0.094956,0.940100,0.940120,0.368219,0.290365,0.408854,0.106771,0.415613,0.170437,0.205729,-0.075292
1,recovery_aware_grasp_mpc,0.808690,0.533402,0.107470,0.925125,0.946108,0.348824,0.394531,0.430990,0.079427,0.364724,0.102574,0.308594,0.045473
1,tactile_temporal_filter,0.789707,0.533333,0.186761,0.672213,0.622754,0.232339,0.154948,0.572917,0.134115,0.172787,0.049051,0.069010,-0.234054
1,vision_gap_threshold,0.788299,0.510357,0.225804,0.470882,0.455090,0.304922,0.148438,0.578125,0.119792,0.141553,0.039952,0.065104,-0.224683
2,calibrated_precontact_microslip_v5,0.829940,0.596680,0.069748,0.951747,0.892216,0.362138,0.342448,0.450521,0.084635,0.337413,0.128381,0.256510,-0.013963
2,conformal_precontact_risk,0.802595,0.526298,0.088683,0.830283,0.820359,0.310506,0.216146,0.514323,0.109375,0.237120,0.060715,0.130208,-0.153961
2,ensemble_uncertainty_guard,0.794987,0.524794,0.102718,0.996672,0.976048,0.364319,0.294271,0.395833,0.091146,0.455509,0.185196,0.221354,-0.068480
2,force_derivative_detector,0.794252,0.510995,0.286226,0.449251,0.443114,0.256780,0.119792,0.596354,0.132812,0.124225,0.032860,0.039062,-0.263303
2,friction_cone_margin,0.813163,0.569629,0.095352,0.911814,0.862275,0.304621,0.259115,0.467448,0.095052,0.280241,0.098030,0.191406,-0.095429
2,mpc_grip_stabilizer,0.807199,0.537557,0.119306,0.908486,0.880240,0.342624,0.361979,0.410156,0.079427,0.326886,0.085709,0.278646,0.033709
2,normal_force_threshold,0.787685,0.499048,0.428832,0.204659,0.197605,0.216834,0.093750,0.626302,0.122396,0.081952,0.011982,0.010417,-0.281106
2,optical_tactile_classifier,0.781197,0.523011,0.110614,0.950083,0.904192,0.302628,0.199219,0.503906,0.108073,0.271188,0.095065,0.123698,-0.177826
2,oracle_precontact_risk,0.867143,0.677045,0.022137,0.995008,0.976048,0.403907,0.593750,0.217448,0.048177,0.313913,0.072915,0.494792,0.371386
2,particle_friction_belief,0.820286,0.545408,0.079840,0.955075,0.946108,0.333010,0.286458,0.445312,0.091146,0.284683,0.097287,0.205729,-0.059461
2,precontact_microslip_v4,0.807619,0.554336,0.114413,0.945092,0.940120,0.373803,0.305990,0.455729,0.070312,0.416976,0.170243,0.239583,-0.067080
2,recovery_aware_grasp_mpc,0.805487,0.535375,0.122609,0.936772,0.928144,0.353043,0.406250,0.403646,0.097656,0.365807,0.102327,0.311198,0.063115
2,tactile_temporal_filter,0.796934,0.539002,0.206283,0.662230,0.610778,0.239767,0.157552,0.580729,0.115885,0.169950,0.047622,0.076823,-0.226473
2,vision_gap_threshold,0.806254,0.538334,0.222265,0.505824,0.467066,0.306369,0.145833,0.596354,0.126302,0.146897,0.041712,0.058594,-0.240326
3,calibrated_precontact_microslip_v5,0.775965,0.534051,0.085841,0.952055,0.929348,0.359034,0.338542,0.402344,0.092448,0.343076,0.131627,0.246094,-0.003953
3,conformal_precontact_risk,0.792536,0.547266,0.072775,0.801370,0.782609,0.308546,0.235677,0.471354,0.125000,0.231896,0.059951,0.139323,-0.120809
3,ensemble_uncertainty_guard,0.783002,0.540733,0.100355,0.984589,0.989130,0.360603,0.328125,0.458333,0.080729,0.456230,0.186054,0.253906,-0.064425
3,force_derivative_detector,0.795000,0.560946,0.268369,0.455479,0.375000,0.253320,0.109375,0.605469,0.121094,0.121829,0.031812,0.028646,-0.271595
3,friction_cone_margin,0.789332,0.551119,0.097048,0.914384,0.858696,0.297096,0.227865,0.459635,0.074219,0.282369,0.099223,0.153646,-0.117598
3,mpc_grip_stabilizer,0.776931,0.523861,0.102331,0.880137,0.902174,0.340858,0.378906,0.417969,0.105469,0.325144,0.086399,0.276042,0.032235
3,normal_force_threshold,0.766919,0.517896,0.411172,0.191781,0.179348,0.216154,0.098958,0.631510,0.140625,0.080228,0.011533,0.016927,-0.285699
3,optical_tactile_classifier,0.772827,0.506458,0.121743,0.945205,0.951087,0.300589,0.200521,0.509115,0.113281,0.276175,0.098300,0.118490,-0.187432
3,oracle_precontact_risk,0.838527,0.630444,0.030722,0.993151,0.967391,0.399315,0.553385,0.246094,0.039062,0.315273,0.074188,0.457031,0.317603
3,particle_friction_belief,0.798441,0.556367,0.068447,0.967466,0.951087,0.329653,0.272135,0.447917,0.091146,0.289547,0.099880,0.182292,-0.079711
3,precontact_microslip_v4,0.798170,0.549434,0.107674,0.945205,0.951087,0.370077,0.282552,0.445312,0.092448,0.420901,0.171993,0.213542,-0.099446
3,recovery_aware_grasp_mpc,0.794359,0.574645,0.086158,0.936644,0.945652,0.348900,0.424479,0.401042,0.098958,0.370075,0.104493,0.317708,0.077104
3,tactile_temporal_filter,0.775020,0.501256,0.181813,0.667808,0.679348,0.240659,0.151042,0.575521,0.128906,0.176630,0.051281,0.061198,-0.242312
3,vision_gap_threshold,0.798429,0.573639,0.193375,0.556507,0.445652,0.309476,0.148438,0.562500,0.121094,0.152991,0.044615,0.069010,-0.221505
4,calibrated_precontact_microslip_v5,0.818566,0.574025,0.071807,0.935702,0.892655,0.364271,0.326823,0.440104,0.093750,0.335148,0.127368,0.242188,-0.029782
4,conformal_precontact_risk,0.821529,0.591643,0.070334,0.832487,0.751412,0.310381,0.230469,0.481771,0.100260,0.233597,0.059563,0.144531,-0.118603
4,ensemble_uncertainty_guard,0.799082,0.538750,0.100055,0.989848,0.994350,0.366222,0.356771,0.427083,0.095052,0.457168,0.185520,0.269531,-0.025660
4,force_derivative_detector,0.770368,0.491688,0.300132,0.406091,0.435028,0.265175,0.131510,0.628906,0.131510,0.119684,0.031309,0.037760,-0.266315
4,friction_cone_margin,0.826490,0.575831,0.098863,0.906937,0.892655,0.301871,0.272135,0.467448,0.111979,0.282945,0.099334,0.177083,-0.093051
4,mpc_grip_stabilizer,0.793708,0.540767,0.101250,0.906937,0.841808,0.342380,0.368490,0.408854,0.088542,0.324235,0.084890,0.277344,0.037159
4,normal_force_threshold,0.770676,0.486774,0.405997,0.206430,0.203390,0.218601,0.096354,0.631510,0.123698,0.082668,0.012515,0.005208,-0.282356
4,optical_tactile_classifier,0.811442,0.580774,0.079699,0.959391,0.909605,0.304955,0.244792,0.489583,0.108073,0.274296,0.096674,0.154948,-0.128181
4,oracle_precontact_risk,0.842826,0.656514,0.019494,0.989848,0.977401,0.405312,0.619792,0.257812,0.036458,0.314474,0.073496,0.505208,0.380733
4,particle_friction_belief,0.810652,0.565259,0.073612,0.961083,0.920904,0.335276,0.274740,0.444010,0.082031,0.285109,0.097480,0.196615,-0.067864
4,precontact_microslip_v4,0.810161,0.550059,0.111663,0.942470,0.926554,0.374214,0.316406,0.427083,0.088542,0.416221,0.169022,0.246094,-0.051770
4,recovery_aware_grasp_mpc,0.834731,0.594291,0.069141,0.937394,0.926554,0.355642,0.386719,0.412760,0.078125,0.367216,0.102788,0.277344,0.045237
4,tactile_temporal_filter,0.793545,0.547726,0.183158,0.664975,0.604520,0.246241,0.162760,0.561198,0.128906,0.170630,0.048226,0.071615,-0.218583
4,vision_gap_threshold,0.813355,0.574856,0.195635,0.512690,0.412429,0.318573,0.156250,0.555990,0.114583,0.144775,0.040511,0.072917,-0.204069
5,calibrated_precontact_microslip_v5,0.767325,0.517584,0.094236,0.951807,0.957219,0.359614,0.335938,0.447917,0.093750,0.346169,0.134266,0.234375,-0.031466
5,conformal_precontact_risk,0.802883,0.600063,0.051299,0.815835,0.663102,0.304637,0.209635,0.454427,0.093750,0.225224,0.056958,0.131510,-0.119934
5,ensemble_uncertainty_guard,0.768992,0.529117,0.114347,0.987952,0.978610,0.361571,0.339844,0.399740,0.084635,0.456395,0.187452,0.243490,-0.026599
5,force_derivative_detector,0.760909,0.476424,0.272005,0.432014,0.438503,0.251288,0.127604,0.597656,0.125000,0.123524,0.033393,0.042969,-0.254428
5,friction_cone_margin,0.798193,0.577144,0.084334,0.915663,0.844920,0.298775,0.264323,0.434896,0.106771,0.281764,0.099712,0.170573,-0.082876
5,mpc_grip_stabilizer,0.765764,0.528639,0.117295,0.920826,0.877005,0.340047,0.394531,0.408854,0.080729,0.331747,0.088779,0.278646,0.061616
5,normal_force_threshold,0.769205,0.516995,0.415463,0.182444,0.144385,0.219836,0.102865,0.631510,0.132812,0.077160,0.010300,0.006510,-0.276585
5,optical_tactile_classifier,0.792375,0.570168,0.081932,0.953528,0.903743,0.297687,0.220052,0.505208,0.102865,0.274163,0.097786,0.130208,-0.159987
5,oracle_precontact_risk,0.838266,0.649415,0.027314,0.989673,0.978610,0.400935,0.644531,0.231771,0.052083,0.316044,0.075254,0.505208,0.408868
5,particle_friction_belief,0.774693,0.539214,0.077857,0.953528,0.967914,0.329087,0.292969,0.432292,0.096354,0.289028,0.100660,0.201823,-0.054799
5,precontact_microslip_v4,0.784398,0.554024,0.115939,0.936317,0.903743,0.372020,0.313802,0.457031,0.113281,0.413327,0.170132,0.213542,-0.079771
5,recovery_aware_grasp_mpc,0.799831,0.550627,0.091656,0.950086,0.957219,0.352146,0.404948,0.388021,0.070312,0.374918,0.107001,0.277344,0.073690
5,tactile_temporal_filter,0.794733,0.534253,0.153264,0.657487,0.647059,0.239176,0.157552,0.571615,0.131510,0.173537,0.050270,0.067708,-0.233529
5,vision_gap_threshold,0.818635,0.592856,0.187202,0.493976,0.385027,0.302746,0.149740,0.548177,0.114583,0.140882,0.038901,0.057292,-0.205759
6,calibrated_precontact_microslip_v5,0.781737,0.547791,0.080018,0.943686,0.928571,0.364631,0.337240,0.410156,0.087240,0.340914,0.131873,0.246094,-0.006036
6,conformal_precontact_risk,0.794138,0.576426,0.071925,0.815700,0.719780,0.310248,0.230469,0.490885,0.109375,0.229130,0.058702,0.126302,-0.125499
6,ensemble_uncertainty_guard,0.811364,0.602305,0.071303,0.996587,0.983516,0.366322,0.290365,0.397135,0.080729,0.458669,0.188725,0.217448,-0.072891
6,force_derivative_detector,0.760350,0.497140,0.289650,0.414676,0.439560,0.260988,0.127604,0.644531,0.115885,0.121214,0.032107,0.037760,-0.272139
6,friction_cone_margin,0.769096,0.525710,0.117292,0.902730,0.879121,0.304632,0.259115,0.463542,0.113281,0.281758,0.099960,0.174479,-0.105009
6,mpc_grip_stabilizer,0.797938,0.550163,0.090223,0.883959,0.862637,0.341804,0.350260,0.420573,0.108073,0.321866,0.085618,0.264323,0.003789
6,normal_force_threshold,0.800130,0.542737,0.417837,0.191126,0.109890,0.215015,0.104167,0.639323,0.134115,0.075969,0.009586,0.009115,-0.277836
6,optical_tactile_classifier,0.802120,0.572844,0.081791,0.964164,0.917582,0.305123,0.218750,0.548177,0.098958,0.276304,0.098740,0.144531,-0.180338
6,oracle_precontact_risk,0.835936,0.638853,0.023807,0.998294,0.972527,0.405647,0.604167,0.236979,0.044271,0.316347,0.075035,0.483073,0.370502
6,particle_friction_belief,0.804752,0.573491,0.065698,0.962457,0.945055,0.335186,0.307292,0.463542,0.089844,0.287921,0.100013,0.222656,-0.050603
6,precontact_microslip_v4,0.804131,0.567500,0.086480,0.941980,0.934066,0.374581,0.321615,0.454427,0.105469,0.417698,0.172523,0.226562,-0.068662
6,recovery_aware_grasp_mpc,0.765718,0.511355,0.122991,0.945392,0.906593,0.355227,0.403646,0.398438,0.075521,0.367784,0.104306,0.290365,0.069670
6,tactile_temporal_filter,0.784363,0.547753,0.178034,0.687713,0.598901,0.244980,0.161458,0.550781,0.113281,0.173426,0.049553,0.061198,-0.209375
6,vision_gap_threshold,0.798277,0.577411,0.207069,0.482935,0.357143,0.313968,0.153646,0.574219,0.126302,0.137396,0.037613,0.061198,-0.217060
7,calibrated_precontact_microslip_v5,0.781749,0.513584,0.105842,0.944444,0.908046,0.359261,0.296875,0.442708,0.110677,0.338130,0.129006,0.238281,-0.068790
7,conformal_precontact_risk,0.802647,0.564621,0.069024,0.824916,0.747126,0.306103,0.243490,0.477865,0.101562,0.231907,0.059023,0.154948,-0.103271
7,ensemble_uncertainty_guard,0.805126,0.545058,0.108375,0.993266,0.988506,0.361119,0.295573,0.394531,0.101562,0.457049,0.186242,0.220052,-0.073185
7,force_derivative_detector,0.793875,0.521963,0.290057,0.456229,0.419540,0.252909,0.143229,0.600260,0.138021,0.124092,0.032872,0.045573,-0.243697
7,friction_cone_margin,0.805199,0.558797,0.112404,0.910774,0.856322,0.299519,0.256510,0.444010,0.108073,0.280425,0.098350,0.174479,-0.093358
7,mpc_grip_stabilizer,0.801639,0.536505,0.099222,0.909091,0.879310,0.337483,0.343750,0.419271,0.095052,0.327854,0.086429,0.255208,0.003046
7,normal_force_threshold,0.786396,0.501229,0.416493,0.193603,0.172414,0.218055,0.108073,0.661458,0.135417,0.079670,0.011330,0.011719,-0.288026
7,optical_tactile_classifier,0.798423,0.547361,0.102100,0.951178,0.885057,0.299229,0.209635,0.501302,0.117188,0.270836,0.095257,0.138021,-0.170568
7,oracle_precontact_risk,0.837327,0.633103,0.028257,0.994949,0.954023,0.400667,0.580729,0.251302,0.053385,0.313140,0.073054,0.471354,0.339428
7,particle_friction_belief,0.810049,0.574181,0.060557,0.969697,0.948276,0.329870,0.303385,0.477865,0.108073,0.288345,0.099140,0.218750,-0.067571
7,precontact_microslip_v4,0.798013,0.546383,0.116740,0.944444,0.908046,0.371018,0.302083,0.440104,0.095052,0.414343,0.168993,0.214844,-0.073486
7,recovery_aware_grasp_mpc,0.791274,0.527478,0.104878,0.930976,0.908046,0.349130,0.401042,0.375000,0.076823,0.363481,0.101983,0.283854,0.080235
7,tactile_temporal_filter,0.839583,0.609495,0.149921,0.686869,0.534483,0.236381,0.158854,0.572917,0.105469,0.169056,0.047064,0.055990,-0.214954
7,vision_gap_threshold,0.803934,0.554288,0.194114,0.530303,0.425287,0.308767,0.147135,0.576823,0.122396,0.147866,0.041982,0.052083,-0.227377
8,calibrated_precontact_microslip_v5,0.836282,0.596639,0.068375,0.958882,0.875000,0.355438,0.334635,0.411458,0.085938,0.336715,0.128502,0.253906,-0.001584
8,conformal_precontact_risk,0.825448,0.561092,0.083320,0.815789,0.775000,0.301628,0.242188,0.481771,0.119792,0.230997,0.058575,0.154948,-0.112645
8,ensemble_uncertainty_guard,0.804556,0.564710,0.082202,0.993421,0.981250,0.357032,0.321615,0.440104,0.102865,0.454003,0.185442,0.261719,-0.065812
8,force_derivative_detector,0.798644,0.500144,0.310008,0.424342,0.406250,0.248061,0.104167,0.591146,0.147135,0.119101,0.030826,0.035156,-0.279443
8,friction_cone_margin,0.821361,0.570117,0.095287,0.921053,0.875000,0.296540,0.252604,0.470052,0.089844,0.282028,0.098986,0.165365,-0.100586
8,mpc_grip_stabilizer,0.811308,0.534858,0.117381,0.907895,0.875000,0.336094,0.329427,0.433594,0.079427,0.325413,0.085364,0.265625,-0.008335
8,normal_force_threshold,0.808682,0.510650,0.449533,0.161184,0.131250,0.208551,0.100260,0.669271,0.131510,0.073971,0.008832,0.011719,-0.294797
8,optical_tactile_classifier,0.803601,0.547029,0.083534,0.955592,0.912500,0.296771,0.191406,0.516927,0.118490,0.271802,0.095785,0.114583,-0.195404
8,oracle_precontact_risk,0.875289,0.670333,0.027847,0.990132,0.968750,0.396317,0.606771,0.207031,0.046875,0.311429,0.072185,0.492188,0.392141
8,particle_friction_belief,0.814269,0.560167,0.081864,0.976974,0.906250,0.325292,0.281250,0.464844,0.093750,0.284705,0.097201,0.208333,-0.072425
8,precontact_microslip_v4,0.837731,0.577899,0.101296,0.942434,0.925000,0.365234,0.309896,0.441406,0.101562,0.413599,0.169689,0.226562,-0.066885
8,recovery_aware_grasp_mpc,0.845818,0.610290,0.082269,0.949013,0.906250,0.346112,0.406250,0.402344,0.087240,0.365804,0.102265,0.315104,0.070205
8,tactile_temporal_filter,0.825060,0.555767,0.183255,0.692434,0.581250,0.235833,0.144531,0.569010,0.132812,0.171552,0.048203,0.058594,-0.239450
8,vision_gap_threshold,0.814877,0.557237,0.229663,0.473684,0.400000,0.302331,0.139323,0.608073,0.136719,0.138193,0.037971,0.066406,-0.251979
9,calibrated_precontact_microslip_v5,0.830173,0.604960,0.051836,0.940778,0.898305,0.353835,0.324219,0.382812,0.096354,0.336931,0.128778,0.238281,-0.006650
9,conformal_precontact_risk,0.784463,0.527632,0.084263,0.818951,0.768362,0.298265,0.236979,0.479167,0.111979,0.232913,0.059647,0.149740,-0.116274
9,ensemble_uncertainty_guard,0.788822,0.560163,0.087680,0.991540,0.988701,0.356071,0.332031,0.417969,0.076823,0.457163,0.186163,0.251302,-0.038223
9,force_derivative_detector,0.767046,0.503093,0.295527,0.404399,0.423729,0.249374,0.131510,0.613281,0.130208,0.119012,0.030748,0.039062,-0.257674
9,friction_cone_margin,0.782417,0.533234,0.105975,0.917090,0.870056,0.292227,0.263021,0.468750,0.114583,0.283092,0.099300,0.173177,-0.103074
9,mpc_grip_stabilizer,0.802748,0.557687,0.089735,0.913706,0.870056,0.333915,0.361979,0.376302,0.087240,0.328478,0.086545,0.270833,0.044850
9,normal_force_threshold,0.777803,0.519831,0.418127,0.194585,0.192090,0.201867,0.102865,0.647135,0.145833,0.081191,0.011830,0.011719,-0.291891
9,optical_tactile_classifier,0.802983,0.574120,0.075491,0.956007,0.903955,0.295820,0.175781,0.503906,0.097656,0.273489,0.096411,0.101562,-0.199312
9,oracle_precontact_risk,0.852095,0.661743,0.018273,0.994924,0.954802,0.395391,0.610677,0.239583,0.052083,0.313706,0.073272,0.489583,0.374800
9,particle_friction_belief,0.802062,0.569312,0.074357,0.972927,0.898305,0.324595,0.278646,0.441406,0.082031,0.285521,0.097724,0.191406,-0.061973
9,precontact_microslip_v4,0.799889,0.579655,0.092665,0.940778,0.864407,0.365852,0.308594,0.421875,0.089844,0.408916,0.166834,0.231771,-0.053804
9,recovery_aware_grasp_mpc,0.795649,0.544686,0.109028,0.923858,0.887006,0.344485,0.415365,0.393229,0.089844,0.360189,0.100745,0.302083,0.081263
9,tactile_temporal_filter,0.771268,0.513608,0.188225,0.659898,0.615819,0.232015,0.125000,0.557292,0.122396,0.170881,0.048247,0.059896,-0.252198
9,vision_gap_threshold,0.789893,0.531733,0.203301,0.510998,0.440678,0.304038,0.145833,0.597656,0.119792,0.146565,0.041729,0.065104,-0.238159
